,Rank,Name,Market Cap,Price,Today,Country
738,739,Xunlei,$96.64 M,$1.42,0.70%,China
739,740,Bit Digital,$96.46 M,$1.17,2.50%,USA
740,741,Starbox Group,$94.94 M,$2.11,0.94%,Malaysia
741,742,CI Games,$94.82 M,$0.50,4.67%,Poland
742,743,O2Micro,$93.58 M,$3.21,5.03%,Cayman Islands
743,744,3i Infotech,$92.02 M,$0.55,0.68%,India
744,745,Bird Global,$87.05 M,$0.31,3.20%,USA
745,746,Wag! Group,$86.46 M,$2.28,6.94%,USA
746,747,Red Cat Holdings,$86.06 M,$1.59,1.55%,USA
747,748,Pixelworks,$84.21 M,$1.55,4.91%,USA
748,749,Greenidge Generation Holdings,$83.41 M,$1.99,2.58%,USA
749,750,Quicklogic,$80.21 M,$6.12,3.01%,USA
750,751,UpHealth,$80.03 M,$0.51,3.77%,USA
751,752,Energous,$79.8 M,$1.03,0.96%,USA
752,753,Viomi Technology,$78.36 M,$1.13,0.88%,China
753,754,IronNet,$78.27 M,$0.77,10.25%,USA
754,755,Compugen,$74.05 M,$0.75,1.77%,Israel
755,756,The Glimpse Group,$73.16 M,$5.74,1.23%,USA
756,757,Scienjoy,$66.04 M,$1.67,43.77%,China
757,758,Cheetah Mobile,$64.78 M,$2.28,11.28%,China
758,759,Shift Technologies,$62.56 M,$0.74,12.66%,USA
759,760,geechs,$61.85 M,$5.88,2.42%,Japan
760,761,BitNile,$61.26 M,$0.19,3.54%,USA
761,762,Triterras,$61.21 M,$0.80,4.76%,Singapore
762,763,Starbreeze,$59.69 M,$0.08000,1.08%,Sweden
763,764,Spark Networks,$58.09 M,$2.22,2.66%,Germany
764,765,enish,$56.88 M,$3.30,2.81%,Japan
765,766,Geospace Technologies,$56.12 M,$4.31,3.15%,USA
766,767,ReWalk Robotics,$51.51 M,$0.82,5.08%,Israel
767,768,Nippon Ichi Software,$49.46 M,$9.82,1.87%,Japan
768,769,Mobile Factory,$49.06 M,$6.21,2.63%,Japan
769,770,Verb Technology,$48.61 M,$0.47,0.52%,USA
770,771,Voyager Digital,$48.55 M,$0.25,0.00%,USA
771,772,Rekor Systems,$46.72 M,$0.87,1.56%,USA
772,773,Natural Health Trends,$44.09 M,$3.86,3.74%,USA
773,774,Intellicheck,$43.34 M,$2.29,5.05%,USA
774,775,AgEagle Aerial Systems,$40.94 M,$0.47,5.79%,USA
775,776,Tose Software,$40.45 M,$5.34,2.53%,Japan
